amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
# ::snt Setelah itu, ia berencana untuk makan malam di Camp Bondsteel dengan pasukan A.S. ditempatkan di sana.
(z0 / beren-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / makan-01
              :ARG0 (z3 / malam)
              :location (z4 / kota
                            :wiki ""CampBondsteel""
                            :name (z5 / nama
                                      :op1 ""Bondsteel"")
                            :mod (z7 / negara
                                     :wiki ""UnitedStates""
                                     :name (z8 / nama
                                               :op1 ""A.S.""))
                            :ARG1 (z9 / letakkan-01
                                      :ARG1 (z10 / pasukan)
                                      :location z4)))
    :time (z11 / setelah
               :op1 (z12 / itu)))"
"# ::id 38
# ::annotator indoamrbart-mbart-fted
# ::snt Pengecer J.C. Penney Co. Inc. JCP.N dan Walgreen Co. Wag.n Kick Off pada hari Senin.
(z0 / dan
    :op1 (z1 / kick-off-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""JCP.N""))
             :ARG1 (z4 / perusahaan
                       :wiki -
                       :name (z5 / nama
                                 :op1 ""J.C.""
                                 :op2 ""Penney""
                                 :op3 ""Co.""
                                 :op4 ""Inc."")))
    :op2 (z6 / kick-off-01
             :ARG0 (z7 / perusahaan
                       :wiki -
                       :name (z8 / nama
                                 :op1 ""Walgreen""
                                 :op2 ""Co.""
                                 :op3 ""Wag.n""))
             :time (z9 / entitas-tanggal
                       :weekday (z10 / senin))))"
"# ::id 39
# ::annotator indoamrbart-mbart-fted
# ::snt Dia menambahkan bahwa jaksa penuntut akan mencari hukuman mati.
(z0 / tambah-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / lihat-01
              :ARG0 (z3 / orang
                        :ARG0-of (z4 / memiliki-peran-org-91
                                     :ARG2 (z5 / jaksa)))
              :ARG1 (z6 / hukuman
                        :mod (z7 / mati))))"
"# ::id 40
# ::annotator indoamrbart-mbart-fted
# ::snt Tahun lalu, pengadilan memutuskan 5-4 dalam kasus Ohio bahwa voucher pemerintah bersifat konstitusional jika mereka memberi orang tua pilihan di antara berbagai sekolah agama dan sekuler.
(z0 / putus-01
    :ARG0 (z1 / pengadilan)
    :ARG1 (z2 / konstitusional
              :domain (z3 / voucher
                          :mod (z4 / pemerintah))
              :condition (z5 / memberi-01
                             :ARG0 (z6 / mereka)
                             :ARG1-of (z7 / pilih-01
                                          :ARG0 (z8 / orang
                                                    :ARG0-of (z9 / memiliki-peran-rel-91
                                                                 :ARG2 (z10 / orang-tua)))
                                          :location (z11 / antara
                                                         :op1 (z12 / sekolah
                                                                   :mod (z13 / agama))
                                                         :op2 (z14 / sekolah
                                                                   :mod (z15 / sekuler)))))
              :location (z16 / kota
                             :wiki ""Ohio""
                             :name (z17 / nama
                                        :op1 ""Ohio""))
              :time (z18 / tahun
                         :mod (z19 / terakhir)))
    :manner (z20 / entitas-string))"
"# ::id 41
# ::annotator indoamrbart-mbart-fted
# ::snt Armstrong, 31, berjuang melawan kanker testis yang menyebar ke otaknya.
(z0 / bertarung-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / kanker
              :mod (z3 / testis)
              :ARG1-of (z4 / menyebar-01
                           :destination (z5 / otak
                                            :part-of z1)))
    :time (z6 / entitas-tanggal))"
"# ::id 42
# ::annotator indoamrbart-mbart-fted
# ::snt Sorkin harus diadili secara terpisah dengan tuduhan konspirasi dan berbohong kepada dewan juri.
(z0 / dan
    :op1 (z1 / menuduh-01
             :ARG1 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-rel-91
                                    :ARG2 (z4 / juri)))
             :ARG2 (z5 / konspirasi))
    :op2 (z6 / berbohong-01
             :ARG0 z2
             :ARG2 (z7 / juri))
    :manner (z8 / terpisah))"
"# ::id 43
# ::annotator indoamrbart-mbart-fted
# ::snt Pete Slover melaporkan dari Laredo dan Gromer Jeffers dari Albuquerque.
(z0 / melaporkan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Slote""
                        :op2 ""Slover""))
    :ARG1 (z3 / dan
              :op1 (z4 / orang
                       :wiki -
                       :name (z5 / nama
                                 :op1 ""Laredo""))
              :op2 (z6 / orang
                       :wiki -
                       :name (z7 / nama
                                 :op1 ""Gromer""
                                 :op2 ""Jeffers""))
              :source (z8 / kota
                          :wiki ""Albuquerque""
                          :name (z9 / nama
                                    :op1 ""Albuquerque""))))"
"# ::id 44
# ::annotator indoamrbart-mbart-fted
# ::snt Pasar Amerika akan menurun 2,1 persen menjadi $ 30,6 miliar pada tahun 2003, dan kemudian tumbuh 15,7 persen menjadi $ 35,4 miliar pada tahun 2004.
(z0 / dan
    :op1 (z1 / turun-01
             :ARG1 (z2 / pasar
                       :mod (z3 / negara
                                :wiki ""UnitedStates""
                                :name (z4 / nama
                                          :op1 ""America"")))
             :ARG2 (z5 / entitas-persentase)
             :time (z6 / entitas-tanggal))
    :op2 (z7 / tumbuh-01
             :ARG1 (z8 / pasar
                       :mod (z9 / entitas-laju-91
                                :ARG2 (z10 / entitas-tanggal)
                                :ARG3 (z11 / kuantitas-moneter
                                           :unit (z12 / dolar))))
             :ARG4 (z13 / entitas-persentase)
             :time (z14 / entitas-tanggal)))"
"# ::id 45
# ::annotator indoamrbart-mbart-fted
# ::snt Kelompok ini akan dipimpin oleh John S. Wolf, asisten sekretaris negara yang telah bertugas di Australia, Vietnam, Yunani dan Pakistan.
(z0 / kepala-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""John""
                        :op2 ""S.""
                        :op3 ""Wolf"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / sekretaris
                                     :mod (z5 / negara))))
    :ARG1 (z6 / grup
              :wiki -
              :name (z7 / nama
                        :op1 ""Kelompok""
                        :op2 ""S.""
                        :op3 ""Wolf""))
    :location (z8 / negara
                  :wiki ""Australia""
                  :name (z9 / nama
                            :op1 ""Australia""))
    :location (z10 / dan
                   :op1 (z11 / negara
                             :wiki ""Vietnam""
                             :name (z12 / nama
                                        :op1 ""Vietnam""))
                   :op2 (z13 / negara
                             :wiki ""Greece""
                             :name (z14 / nama
                                        :op1 ""Greece""))))"
"# ::id 46
# ::annotator indoamrbart-mbart-fted
# ::snt Pelanggan perumahan rata-rata yang membayar $ 840 setahun untuk listrik dapat melihat penghematan $ 30 per tahun.
(z0 / lihat-01
    :ARG0 (z1 / pelanggan
              :mod (z2 / rata-rata)
              :ARG0-of (z3 / membayar-01
                           :ARG1 (z4 / kuantitas-moneter
                                     :unit (z5 / dolar))
                           :purpose (z6 / listrik)
                           :frequency (z7 / entitas-laju-91
                                          :ARG3 (z8 / kuantitas-sementara
                                                    :unit (z9 / tahun)))))
    :ARG1 (z10 / hematan
               :mod (z11 / entitas-laju-91
                         :ARG1 (z12 / kuantitas-moneter
                                    :unit (z13 / dolar)))))"
"# ::id 47
# ::annotator indoamrbart-mbart-fted
# ::snt Perusahaan telah mengumumkan pada bulan Januari bahwa mereka harus menyatakan kembali pendapatan untuk tahun 2002, 2001 dan mungkin 2000.
(z0 / umum-01
    :ARG0 (z1 / mereka)
    :ARG1 (z2 / obligasi-01
              :ARG1 (z3 / mereka)
              :ARG2 (z4 / menyatakan-01
                        :ARG0 z1
                        :ARG1 (z5 / pendapatan)
                        :beneficiary (z6 / dan
                                         :op1 (z7 / entitas-tanggal)
                                         :op2 (z8 / entitas-tanggal)
                                         :op3 (z9 / mungkin-01
                                                  :ARG1 (z10 / entitas-tanggal))))
              :time (z11 / entitas-tanggal)))"
"# ::id 48
# ::annotator indoamrbart-mbart-fted
# ::snt Hasil dari No. 2 pembuat minuman ringan A.S. PepsiCo Inc. (NYSE: PEP - News - People) cenderung menjadi sorotan.
(z0 / cenderung-01
    :ARG1 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""A.S.""
                        :op2 ""PepsiCo""
                        :op3 ""Inc."")
              :ARG0-of (z3 / produksi-01
                           :ARG1 (z4 / minuman
                                     :mod (z5 / ringan)))
              :source (z6 / perusahaan
                          :wiki -
                          :name (z7 / nama
                                    :op1 ""PEP""
                                    :op2 ""News""
                                    :op3 ""People"")))
    :ARG2 (z8 / sorotan))"
"# ::id 49
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Hasilnya adalah paket keseluruhan yang akan memberikan pertumbuhan ekonomi yang signifikan bagi karyawan kami selama beberapa tahun ke depan,"""" katanya.""
(z0 / katanya-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / hadir-01
              :ARG1 (z3 / paket
                        :mod (z4 / keseluruhan)
                        :ARG0-of (z5 / memberi-01
                                     :ARG1 (z6 / bertambah-01
                                               :mod (z7 / ekonomi)
                                               :ARG1 (z8 / signifikan))
                                     :ARG2 (z9 / orang
                                               :ARG0-of (z10 / memiliki-peran-rel-91
                                                             :ARG1 (z11 / kita)
                                                             :ARG2 (z12 / karyawan)))
